Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
3840 , 402.1238596594935 , 17.069367646605777 , 8580 , 1.74 , 147.5 , 60.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 137.5 , 70
 
Optimization Parameters:
K_mass, K_Eff, MODULE_MIN, MODULE_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , 0 , 1.0 , 2.0 , 3 , 7 , 18 , 28 , 3.0 , 4.0 , 0.1
 
iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, PSCs, PSCp, PSCr, CD_SP, CD_PR, mass, eff, peakTorque, Cost, Torque_Density
1 , 3.076923076923077 , 1.0 , 52 , 28 , 108 , 4 , 5.854 , 8.0 , 8.0 , 0 , 0 , 0 , 40.0 , 40.0 , 2.541 , 0.959 , 52.521 , 2.2226140272413404 , 20.669421487603305
2 , 3.1914893617021276 , 1.0 , 47 , 28 , 103 , 5 , 5.275 , 8.0 , 8.0 , 0 , 0 , 0 , 37.5 , 37.5 , 2.524 , 0.958 , 54.477 , 2.2090968311573627 , 21.58359746434231
3 , 3.2888888888888888 , 1.0 , 45 , 29 , 103 , 4 , 6.931 , 8.0 , 8.0 , 0 , 0 , 0 , 37.0 , 37.0 , 2.517 , 0.958 , 56.139 , 2.2006681860087163 , 22.303933253873662
2 , 3.3333333333333335 , 1.0 , 42 , 28 , 98 , 4 , 7.558 , 8.0 , 8.0 , 0 , 0 , 0 , 35.0 , 35.0 , 2.37 , 0.956 , 56.898 , 2.057472867997161 , 24.007594936708863
4 , 3.5 , 1.0 , 40 , 30 , 100 , 4 , 7.995 , 8.0 , 8.0 , 0 , 0 , 0 , 35.0 , 35.0 , 2.367 , 0.957 , 59.743 , 2.053168195386223 , 25.23996620194339
4 , 3.58974358974359 , 1.0 , 39 , 31 , 101 , 5 , 6.589 , 8.0 , 8.0 , 0 , 0 , 0 , 35.0 , 35.0 , 2.375 , 0.957 , 61.275 , 2.059967093784719 , 25.8
6 , 3.6470588235294117 , 1.1 , 34 , 28 , 90 , 4 , 8.176 , 8.176 , 8.176 , 0 , 0 , 0 , 34.1 , 34.1 , 2.371 , 0.953 , 62.253 , 2.1001854200873242 , 26.25601012231126
10 , 3.757575757575758 , 1.1 , 33 , 29 , 91 , 4 , 8.483 , 8.483 , 8.483 , 0 , 0 , 0 , 34.1 , 34.1 , 2.373 , 0.953 , 64.139 , 2.1634370755269225 , 27.028655710071636
12 , 3.8666666666666667 , 1.2000000000000002 , 30 , 28 , 86 , 4 , 8.111 , 8.111 , 8.111 , 0 , 0 , 0 , 34.800000000000004 , 34.800000000000004 , 2.365 , 0.951 , 66.002 , 2.086475192763256 , 27.907822410147986
13 , 4.0 , 1.2000000000000002 , 29 , 29 , 87 , 4 , 8.469 , 8.469 , 8.469 , 0 , 0 , 0 , 34.800000000000004 , 34.800000000000004 , 2.368 , 0.951 , 68.277 , 2.1609958119542227 , 28.83319256756757


Running Time (sec)
0.3201436996459961
