Motor Parameters:
maxMotorAngVelRPM, maxMotorAngVelRadPerSec, maxMotorTorque, maxMotorPower, motorMass, motorDia, motorLength
2400 , 251.32741228718345 , 2.291831180523293 , 750 , 0.24 , 86.8 , 26.5
 
Gear strength and size parameters:
FOS, serviceFactor, stressAnalysisMethodName, maxGearBoxDia, maxGearAllowableStressMPa
1.2 , 1.5 , MIT , 76.8 , 70
 
Optimization Parameters:
K_mass, K_Eff, K_Width, MODULE_MIN, MODULE_MAX, NUM_PLANET_MIN, NUM_PLANET_MAX, NUM_TEETH_SUN_MIN, NUM_TEETH_PLANET_MIN, GEAR_RATIO_MIN, GEAR_RATIO_MAX, GEAR_RATIO_STEP
1 , -2 , 0.2 , 0.5 , 1.2 , 3 , 7 , 18 , 28 , 4.0 , 15 , 0.1
 
iter, gearRatio, module, Ns, Np, Nr, numPlanet, fwSunMM, fwPlanetMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
5 , 4.0588235294117645 , 0.5 , 34 , 35 , 104 , 3 , 6.983 , 8.0 , 8.0 , 0.532 , 0.958 , 9.302 , 0.2166505598283608 , 17.484962406015036 , 0.038 , 62.5
4 , 4.181818181818182 , 0.5 , 33 , 36 , 105 , 3 , 7.249 , 8.0 , 8.0 , 0.531 , 0.958 , 9.584 , 0.2162054645104825 , 18.048964218455744 , 0.038 , 62.5
4 , 4.258064516129032 , 0.5 , 31 , 35 , 101 , 3 , 7.889 , 8.0 , 8.0 , 0.533 , 0.956 , 9.759 , 0.22139790600119724 , 18.309568480300186 , 0.038 , 62.5
4 , 4.3125 , 0.5 , 32 , 37 , 106 , 3 , 7.538 , 8.0 , 8.0 , 0.531 , 0.958 , 9.884 , 0.2159049133169757 , 18.613935969868173 , 0.038 , 62.5
3 , 4.451612903225806 , 0.5 , 31 , 38 , 107 , 3 , 7.85 , 8.0 , 8.0 , 0.531 , 0.957 , 10.202 , 0.21575071632614318 , 19.212806026365346 , 0.038 , 62.5
6 , 4.588235294117647 , 0.5 , 34 , 44 , 122 , 3 , 6.891 , 8.0 , 8.0 , 0.545 , 0.962 , 10.515 , 0.22208163471785558 , 19.293577981651374 , 0.05 , 62.5
5 , 4.6875 , 0.5 , 32 , 43 , 118 , 3 , 7.473 , 8.0 , 8.0 , 0.547 , 0.96 , 10.743 , 0.22718176434334625 , 19.639853747714806 , 0.05 , 62.5
3 , 4.7272727272727275 , 0.5 , 33 , 45 , 123 , 3 , 7.157 , 8.0 , 8.0 , 0.545 , 0.961 , 10.834 , 0.2220713368028786 , 19.878899082568804 , 0.05 , 62.5
6 , 4.875 , 0.5 , 32 , 46 , 124 , 3 , 7.446 , 8.0 , 8.0 , 0.544 , 0.961 , 11.173 , 0.22217758040017221 , 20.538602941176467 , 0.05 , 62.5
7 , 4.956521739130435 , 0.7 , 23 , 34 , 91 , 3 , 6.049 , 8.0 , 8.0 , 0.543 , 0.949 , 11.36 , 0.24482348175193902 , 20.920810313075503 , 0.05 , 62.5
4 , 5.032258064516129 , 0.5 , 31 , 47 , 125 , 3 , 7.758 , 8.0 , 8.0 , 0.544 , 0.961 , 11.533 , 0.2224049329871498 , 21.200367647058822 , 0.05 , 62.5
7 , 5.181818181818182 , 0.7 , 22 , 35 , 92 , 3 , 6.418 , 8.0 , 8.0 , 0.542 , 0.948 , 11.876 , 0.24545525361048792 , 21.91143911439114 , 0.05 , 62.5
4 , 5.28 , 0.6 , 25 , 41 , 107 , 3 , 7.261 , 8.0 , 8.0 , 0.542 , 0.954 , 12.101 , 0.2341037024842323 , 22.326568265682656 , 0.05 , 62.5
9 , 5.368421052631579 , 0.7 , 19 , 32 , 83 , 3 , 7.897 , 8.0 , 8.0 , 0.549 , 0.942 , 12.304 , 0.2637742980311162 , 22.41165755919854 , 0.05 , 62.5
6 , 5.428571428571429 , 0.7 , 21 , 36 , 93 , 3 , 6.83 , 8.0 , 8.0 , 0.541 , 0.948 , 12.441 , 0.24640560179974402 , 22.99630314232902 , 0.05 , 62.5
6 , 5.5 , 0.6 , 24 , 42 , 108 , 3 , 7.668 , 8.0 , 8.0 , 0.542 , 0.953 , 12.605 , 0.23489708794178243 , 23.256457564575644 , 0.05 , 62.5
4 , 5.684210526315789 , 0.7 , 19 , 35 , 89 , 3 , 7.851 , 8.0 , 8.0 , 0.545 , 0.944 , 13.027 , 0.2563972217006798 , 23.90275229357798 , 0.05 , 62.5
7 , 5.7 , 0.7 , 20 , 37 , 94 , 3 , 7.291 , 8.0 , 8.0 , 0.541 , 0.947 , 13.063 , 0.24770179473976328 , 24.146025878003698 , 0.05 , 62.5
